frame,track_id,x,y,w,h,class_id,conf
10,1,2604.63,734.92,2728.48,967.49,1,0.95
10,2,1420.06,613.16,1529.95,808.58,0,0.83
20,1,2605.12,734.79,2728.44,966.43,1,0.96
20,2,1420.43,614.3,1530.1,812.93,0,0.85
30,1,2606.12,736.39,2728.5,966,1,0.97
30,2,1418.71,615.59,1529.14,812.65,0,0.87
30,3,3405.97,802.22,3630.44,1038.62,3,0.55
30,4,3402.55,796.33,3611.7,1033.24,3,0.42
30,5,3401.7,803.25,3625.61,1047.56,3,0.45
40,1,2605.23,736.58,2727.91,965.51,1,0.97
40,2,1418.81,614.15,1530.36,810.04,0,0.77
40,3,3405.73,805.38,3624.94,1039.26,3,0.25
40,5,3401.43,806.74,3620.74,1047.5,3,0.59
50,1,2604.81,736.76,2728.86,965.7,1,0.98
50,2,1420.72,616.29,1527.37,810.15,0,0.83
50,3,3405.49,801.95,3612.86,1034.51,3,0.5
50,5,3403.19,806.83,3622.81,1048.14,3,0.82
60,1,2606.53,739.86,2726.8,964.83,1,0.97
60,2,1420.68,614.11,1528.58,807.58,0,0.78
60,3,3407.22,805.4,3622.61,1037.08,3,0.4
60,5,3403,808.37,3622.78,1047.59,3,0.43
70,1,2606.46,741.37,2725.3,963.46,1,0.97
70,2,1420.81,613.42,1529.1,806.77,0,0.81
70,3,3409.38,806.92,3626,1038.66,3,0.38
70,5,3403.48,808.26,3624.05,1047.87,3,0.8
70,16,2822.89,889.8,2963.29,1162.49,0,0.8
80,1,2606.23,742.54,2724.97,963.79,1,0.97
80,2,1420.59,612.89,1529.04,807.14,0,0.83
80,3,3407.29,805.18,3629.81,1039.29,3,0.56
80,5,3401.94,806.03,3626.39,1048.16,3,0.88
80,16,2820.14,840.08,2959.46,1107.25,2,0.8
80,20,3403.17,799.15,3612.99,1032.84,3,0.4
90,1,2606.16,740.04,2726.2,963.87,1,0.99
90,2,1422.94,612.28,1529.65,806.15,0,0.82
90,3,3406.21,806.58,3629.12,1040.34,3,0.43
90,5,3401.29,807.26,3625.75,1049.03,3,0.9
90,16,2816.9,814.75,2959.71,1076.35,2,0.78
90,20,3402.76,800.54,3612.95,1034.25,3,0.43
100,1,2608.12,739.47,2726.88,963.47,1,0.99
100,2,1423.35,612.52,1530.03,805.98,0,0.85
100,3,3405.82,806.9,3628.55,1040.63,3,0.42
100,5,3401.05,807.48,3625.25,1049.32,3,0.91
100,16,2813.67,812.14,2959.33,1069.56,2,0.78
100,20,3402.82,800.92,3612.65,1034.18,3,0.39
110,1,2607.73,738.05,2726.78,963.28,1,0.98
110,2,1422.53,613.57,1529.31,806.32,0,0.82
110,3,3407.44,807.11,3628.41,1040,3,0.52
